,sad_aux_op_2p_25001,vdn_2p_770,vdn_op_2p_7772,vdn_aux_2p_940,iql_aux_2p_8110,sad_aux_op_2p_25024,sad_2p_2025,iql_2p_510,vdn_aux_2p_971,vdn_2p_7110,iql_op_2p_700,sad_aux_2p_20025,sad_aux_2p_20024,vdn_op_2p_77112,iql_op_2p_710,iql_2p_310,sad_aux_2p_10,vdn_2p_726,sad_op_2p_2524,sad_aux_2p_20007,vdn_aux_2p_9112,sad_aux_op_2p_25025,sad_op_2p_1,iql_aux_2p_804,sad_aux_2p_20001,iql_aux_2p_8141,sad_2p_2024,sad_aux_2p_20000,iql_2p_210,sad_op_2p_2500,vdn_aux_2p_9142,vdn_aux_2p_9141,sad_2p_2019,iql_2p_7,iql_op_2p_6140,sad_2p_1,vdn_2p_720,vdn_2p_7140,sad_aux_op_2p_1,iql_2p_224,sad_aux_2p_1,vdn_2p_725,vdn_2p_711,sad_aux_op_2p_25007,iql_op_2p_6110,sad_op_2p_2519,iql_2p_111,sad_2p_2007,sad_op_2p_2507,vdn_op_2p_729,sad_op_2p_2,vdn_2p_710,vdn_2p_740,vdn_aux_2p_910,vdn_aux_2p_911,vdn_op_2p_7742,sad_op_2p_2506,sad_aux_2p_20018,iql_aux_2p_800,iql_2p_288,sad_aux_op_2p_25019,sad_op_2p_2501,sad_aux_2p_20006,iql_op_2p_610,vdn_op_2p_7741,iql_2p_4,sad_2p_2000,iql_op_2p_620,iql_op_2p_621,iql_op_2p_618,vdn_2p_7141,iql_aux_2p_840,vdn_op_2p_7711,iql_aux_2p_841,vdn_op_2p_77111,iql_aux_2p_8140,sad_aux_op_2p_25000,vdn_aux_2p_970,sad_aux_op_2p_25018,iql_2p_488,sad_aux_op_2p_2,sad_aux_op_2p_25006,vdn_op_2p_727,iql_aux_2p_811,vdn_aux_2p_941,sad_2p_2006,sad_aux_2p_20019,sad_op_2p_2525,sad_2p_2001,iql_2p_424,sad_2p_9,sad_op_2p_2518,sad_2p_2018,vdn_aux_2p_9111,iql_aux_2p_810,iql_aux_2p_8111,iql_op_2p_600,iql_op_2p_612,vdn_op_2p_7712,vdn_op_2p_7771
iql_aux_2p_804,19.4994,4.1614,18.4728,19.9024,18.8316,18.6086,0.2308,17.84,18.6624,15.4472,17.9276,17.0378,18.8166,17.4888,15.3964,17.4298,15.0558,11.9012,11.8024,18.2516,18.5242,17.7154,12.749,23.9528,19.1882,17.3926,2.6472,19.0484,10.3478,13.8118,18.5294,19.028,12.3734,16.9406,17.7636,13.1932,14.0806,14.3438,19.114,17.6952,17.5586,4.649,16.619,17.2816,18.2088,14.703,16.7516,0.453,0.5784,18.2906,5.076,17.5688,15.798,18.9888,18.9638,0.5254,0.0176,16.2688,18.8112,15.5982,19.535,16.2606,17.3064,6.7666,6.2128,6.8886,15.6716,17.9492,18.6262,19.1502,1.8176,19.148,12.154,19.0346,16.9464,18.3068,19.756,18.8198,18.911,16.88,17.9332,18.5604,17.2532,18.6498,19.3206,0.6696,18.5046,17.0942,12.753,17.4704,2.3564,14.6424,5.8924,18.4822,19.1174,19.4508,6.3068,18.2656,13.0802,9.083
sad_aux_2p_20001,15.617,6.6874,19.415,21.4356,21.6996,21.7666,0.1648,17.1626,20.901,18.8742,17.1444,22.0898,20.7706,18.7688,12.6994,16.876,16.8862,13.6792,13.2258,21.4098,20.1642,20.6316,15.1036,19.0234,23.4652,20.405,6.7662,21.058,8.5814,18.6178,22.979,21.9522,12.4242,17.946,17.3152,14.865,12.174,16.4786,17.8186,18.2272,19.7252,3.5234,19.901,21.7914,19.7884,20.5596,16.2202,10.0812,0.408,17.0524,0.2076,18.691,14.7212,20.9392,22.5818,0.2848,0.0032,21.678,21.9144,16.5688,22.0726,16.2038,20.9768,4.742,5.3286,5.0352,16.5138,18.389,17.4316,19.3976,1.1798,19.81,11.1554,22.0468,19.2746,20.0628,22.1684,21.2572,21.8252,16.7286,21.582,21.3612,20.8558,19.8548,20.7866,0.8974,21.4854,19.731,19.4812,17.6652,1.147,19.0544,8.2328,22.5446,21.3024,21.8798,8.5178,19.623,13.3644,4.361
iql_aux_2p_8141,15.3772,6.5992,18.4036,22.2462,21.2294,20.7508,0.3762,15.92,21.8766,15.802,17.4836,22.4656,21.7496,17.7284,13.0758,14.654,20.362,12.0126,13.7886,19.2538,22.0352,21.3394,11.9678,17.4454,20.6694,23.9086,10.792,21.9398,10.86,13.7412,20.9418,21.864,7.7214,17.3992,18.2162,15.1812,10.2674,16.7488,17.874,20.2358,17.9976,3.3912,19.3742,21.0004,18.6798,14.4942,16.0898,7.5494,0.5726,17.0786,0.5026,17.9082,15.3572,21.7382,21.8226,1.1168,0.0122,21.0806,22.3266,16.1978,20.8942,13.1106,20.441,5.4528,4.485,6.6624,10.5174,17.4874,14.6288,18.6618,1.317,20.5962,8.5478,21.2432,19.1784,21.8732,20.1736,23.3034,22.0782,16.9868,22.2474,20.2028,19.059,21.6058,21.7298,1.0344,19.377,16.8702,12.1942,18.3978,1.8582,14.6184,8.1886,21.5784,20.0412,19.676,11.7736,17.907,17.465,5.5416
sad_2p_2024,1.4522,1.1114,11.3228,9.761,10.909,8.8474,0.0328,5.8648,11.7152,5.9642,11.255,10.6346,10.7444,10.4528,6.651,4.1544,15.1464,2.6106,5.4032,8.5456,13.2774,8.7532,1.8744,3.289,6.5484,10.1724,24.1248,10.8,2.8986,4.4506,11.1892,10.3096,0.0532,15.2154,11.2196,7.603,5.6676,12.2968,4.2516,10.4318,8.5364,0.0658,13.9014,10.5404,12.2806,6.5256,6.3282,1.4634,0.0148,4.2864,0.1186,11.2444,7.2718,12.7942,10.2568,0.022,0.0004,15.2868,10.4116,11.1016,8.3896,2.6622,7.101,0.1762,0.054,0.4684,0.1194,12.1328,2.992,5.5948,0.2526,11.2218,6.7354,9.6638,13.6308,10.489,7.2894,9.61,12.0468,12.0686,10.8814,6.192,12.3176,10.3114,10.7484,0.0146,10.0152,8.1766,5.0788,11.7136,0.0146,5.6902,2.3736,12.4316,11.5616,11.0012,2.6136,13.1302,9.3794,0.3574
sad_aux_2p_20000,16.4658,7.4182,21.067,22.444,22.143,21.6908,0.1504,18.9078,21.9376,19.5918,19.7636,21.6396,21.5668,20.6572,15.298,18.4648,20.5896,16.2822,17.1786,21.1606,22.611,21.1168,14.0474,19.077,21.1382,22.0692,11.187,23.5418,10.987,19.3238,20.9252,21.6832,10.8156,18.2328,19.849,17.7456,13.465,13.6594,18.4204,20.183,19.47,4.071,20.4558,21.7862,20.418,18.7332,18.3678,6.1416,0.3426,17.6,0.815,20.7162,19.1428,21.075,21.747,0.4508,0.004,21.9116,21.6846,19.02,22.0288,17.9146,20.444,4.3808,5.7388,6.824,17.1042,20.5206,18.3692,21.175,0.6944,21.7304,15.0808,22.0686,20.6012,20.9588,22.5444,22.4034,22.2788,18.3054,22.107,21.589,20.4164,21.4552,23.0754,1.3056,20.7012,20.5568,16.7124,19.6614,1.5742,20.0552,9.2468,21.5438,20.7216,20.5828,11.054,20.4586,13.401,6.0844
iql_2p_210,9.4504,2.2598,11.7136,12.8068,11.5738,10.0418,0.1934,9.2038,10.5614,7.554,12.379,9.4548,12.5256,10.3228,7.7454,9.4356,8.787,6.492,6.861,8.2958,9.9174,10.4806,2.9002,10.391,8.6006,10.9736,2.996,10.9842,23.8912,3.9142,10.101,12.7722,0.9118,6.278,12.4064,4.8566,3.0508,4.6226,8.7624,9.0714,10.9156,0.8694,8.1302,9.5008,10.463,2.3664,9.254,0.4168,0.019,8.9756,0.0736,9.2614,5.9682,11.6078,11.9686,0.3206,0.008,8.0288,13.5892,12.6054,7.7642,4.6576,6.8792,3.941,0.53,4.6176,2.5366,11.2236,9.7878,12.0396,0.4174,10.244,9.032,9.7742,7.6788,12.727,8.898,10.6828,9.2218,7.8994,12.3826,11.3374,6.318,11.6376,10.2908,0.2616,8.2382,5.6278,1.935,8.1434,0.6578,3.2242,5.7706,12.1596,11.6942,12.2894,11.003,10.8806,5.5556,4.079
sad_op_2p_2500,8.7076,1.5748,19.6416,17.7466,16.331,15.4952,0.0342,18.7632,13.0062,21.198,18.2576,16.7348,12.676,21.2822,9.713,19.7608,14.7524,13.8882,15.0352,19.1042,16.6042,12.8656,14.5096,13.8594,18.8938,14.2908,4.7496,19.4272,4.2102,23.2516,16.0964,14.1466,18.0582,10.7652,16.815,20.2822,6.3572,8.5486,9.6438,14.2992,17.068,1.5272,17.554,17.76,18.822,18.5042,19.8676,9.907,0.0024,8.6626,0.0396,21.0052,16.5278,14.743,16.8002,0.0324,0.0,17.3694,16.8118,16.9486,18.0682,17.5634,15.6814,0.8936,1.107,2.8648,18.9696,20.705,15.8758,17.8268,0.0586,16.581,17.343,16.466,19.1472,15.4348,20.01,14.7872,15.647,16.7682,14.9984,15.225,14.3654,12.5872,19.7814,0.0674,14.9364,15.2448,16.798,15.2202,0.2,22.9806,6.1758,17.4286,14.656,15.927,4.6344,18.021,6.7048,3.455
vdn_aux_2p_9142,14.7664,7.7252,20.1642,21.8128,22.1106,22.7466,0.2406,16.3296,21.6008,19.3796,18.5194,22.759,21.4338,19.292,16.3614,16.275,17.3784,13.054,15.2572,21.656,19.9082,21.8542,11.3326,18.5854,23.023,20.7774,11.8354,20.8402,10.0116,15.8204,24.1144,22.582,5.9794,19.1926,19.1032,15.6654,14.1172,15.6064,17.3906,18.8434,20.6068,2.6802,19.1384,21.949,19.9708,18.2694,17.6254,6.4484,0.7672,17.3174,0.593,18.9684,16.7752,20.9116,22.4826,0.354,0.0094,21.6022,22.7628,17.968,22.0926,13.6224,22.0542,5.6768,4.3764,5.029,12.1066,18.9684,17.1648,20.3292,1.2408,20.2602,10.1162,22.2406,18.2788,21.1126,21.7364,22.3208,21.7072,16.579,22.304,21.9504,21.0514,20.1684,20.7928,1.3854,21.6168,20.66,17.388,18.6782,1.9484,16.7792,8.3524,22.9314,20.37,22.3002,10.6266,20.4304,15.7228,4.4164
vdn_aux_2p_9141,18.256,4.4542,20.0828,22.7072,21.7862,22.7684,0.2462,16.1204,22.1514,17.1458,19.163,22.4944,23.3128,19.1634,14.9882,15.6214,18.6256,13.358,17.3556,21.076,21.3518,22.9854,8.9652,19.1612,21.8286,21.818,10.3628,21.5842,12.3382,14.0238,22.2808,24.156,7.6862,18.2952,20.6296,14.7816,10.8852,15.0358,18.6488,19.4954,19.528,3.6326,19.7924,21.7732,19.636,14.495,17.4002,4.358,0.6138,17.6432,0.3812,19.2348,15.9996,22.075,22.3728,0.3588,0.006,21.489,22.2068,17.8108,22.0238,13.5904,20.3528,6.064,5.144,6.2014,10.329,18.7984,16.7462,20.2558,1.6238,20.8474,9.5906,22.229,19.4822,22.4822,21.5512,22.2684,22.1708,17.9178,23.5348,22.241,20.3024,21.1516,21.7694,0.4198,20.9564,19.4838,13.6212,19.3862,1.3528,15.4896,9.298,22.629,21.6746,22.0508,11.661,19.3652,15.9554,7.3622
sad_2p_2019,7.6882,0.4772,12.4078,10.8006,10.6068,6.882,0.023,17.3166,5.9566,13.8764,11.372,7.7604,6.2482,12.9698,6.4842,16.0498,3.8638,8.4178,11.2912,5.322,9.4792,5.9124,15.7386,12.9682,12.534,8.1976,0.029,10.5968,1.0054,18.0126,5.9182,8.266,23.4486,7.8856,9.152,14.5436,8.0116,4.4728,10.7264,10.627,8.333,1.772,12.7216,9.2472,9.01,9.3668,10.2892,0.0,0.0114,9.001,10.1766,12.7118,8.3362,10.1604,9.7358,0.0178,0.0,7.9384,7.9556,10.2528,6.6,18.173,4.8942,0.5898,1.7304,1.8646,18.4452,11.8206,14.6116,13.9464,0.0754,10.0972,8.651,9.789,11.5816,7.7312,12.9656,6.7584,6.1408,14.5702,6.357,10.2516,10.94,7.9984,14.9814,0.0206,9.9284,8.1772,8.4004,9.0292,0.1858,11.5632,2.1818,11.0346,7.6084,11.0196,0.4762,9.9888,5.0436,2.5784
iql_2p_7,15.3696,4.4156,16.704,17.3286,17.2348,17.9354,0.117,17.2006,20.0386,12.184,16.3726,16.9606,17.4752,15.5976,19.7192,15.4384,18.1554,7.79,13.6214,16.3462,17.99,19.1288,8.2072,16.7242,16.704,16.5902,14.8118,17.67,6.4266,9.7362,18.8736,17.9054,7.0534,23.8642,16.0784,10.5412,17.881,17.6122,16.159,18.4818,16.4366,2.4948,16.4996,17.3506,19.421,16.0818,14.5954,6.1964,0.1358,15.253,0.0938,15.9446,15.9504,18.1292,16.727,0.4316,0.0088,18.522,18.0702,15.5404,16.4828,9.652,16.4044,4.0708,2.355,4.3668,8.163,17.2494,18.2572,17.3072,0.6128,18.1648,12.5292,18.8388,15.7636,17.0806,15.3716,18.1324,18.6312,15.1794,18.7864,15.9666,19.6988,17.4104,16.6894,0.3366,18.1632,17.4196,17.8266,18.187,1.2904,10.2398,7.9344,18.8964,18.0538,18.64,7.477,21.2916,17.3012,6.3314
iql_op_2p_6140,16.1208,5.5638,21.3076,20.7162,19.4294,19.6218,0.1904,18.7336,20.2212,19.2258,22.6222,19.0112,19.8202,21.371,17.6264,18.811,18.3508,14.3642,21.1438,19.1126,19.3076,20.936,11.9174,18.2632,17.7284,18.4352,11.4254,20.1568,12.536,16.4972,19.5396,20.9248,8.8486,15.9232,24.078,18.0972,11.54,13.3996,18.2788,19.2238,21.5182,2.3056,18.715,18.9946,21.1652,11.5004,20.9648,6.8692,0.2044,18.0236,0.088,20.4548,18.1746,18.5922,19.8844,0.7276,0.02,17.6296,20.2234,21.3002,17.8828,12.8436,17.3888,3.9626,2.5878,6.444,11.7084,21.4782,17.6366,21.899,0.9654,18.4184,16.705,19.185,19.7464,20.7354,18.6432,19.6904,19.4466,19.666,21.898,18.1406,17.1878,18.61,20.4112,0.4052,17.2284,17.9994,10.5906,20.3418,2.0028,16.5364,9.0078,20.1316,17.5468,18.7926,13.7782,20.4024,12.8202,9.5076
sad_2p_1,11.1176,2.411,19.8324,17.7832,14.5296,14.7156,0.0504,18.385,14.0438,17.2574,19.205,15.5552,14.9482,20.8458,11.1428,15.8602,16.1068,9.3832,16.988,15.892,16.7642,14.39,9.7804,13.3492,14.9606,15.2826,7.8342,17.5496,4.943,20.2988,16.1226,15.3112,14.7286,12.1462,18.2616,23.8336,6.647,7.76,10.2974,15.5192,17.608,2.0552,16.8422,17.6128,18.0358,12.7192,18.4966,8.0832,0.0094,12.9544,0.0826,19.5568,15.1166,17.0454,16.2788,0.039,0.0,17.294,15.8382,19.6106,15.2468,17.5798,15.6116,0.874,2.7052,2.8468,16.2708,19.6692,15.44,17.6598,0.188,14.3198,12.923,14.8198,17.9144,18.2226,17.8838,15.1334,15.5636,18.6164,15.197,15.2692,16.5034,16.9842,17.4056,0.028,14.4548,16.1804,12.3828,15.2426,0.5674,18.8202,8.118,16.86,13.678,16.2692,7.5406,17.8136,9.0116,5.5198
vdn_2p_720,11.9378,1.8792,13.1032,11.8448,13.8634,11.378,0.0616,13.9028,14.0236,9.3144,12.4472,11.8858,10.4726,10.859,12.419,11.3822,9.6914,4.1408,8.0444,10.4564,11.804,12.213,7.3304,14.4648,12.5668,10.548,4.187,14.0926,3.242,6.1508,14.1992,11.5458,7.4618,18.2196,10.8838,6.3,24.0174,12.2866,11.55,12.7198,11.836,2.858,14.5158,11.8782,13.8704,13.0408,9.5212,0.4436,0.0992,13.8022,4.1362,11.1968,11.1692,13.4224,11.148,0.0988,0.0,12.4184,12.3538,9.5612,10.4392,13.2094,9.9072,4.1762,3.7854,3.5878,7.8738,13.4378,17.2366,14.9644,0.2462,13.348,6.562,13.6016,12.3272,10.2838,10.6816,12.8802,13.1002,9.925,11.1114,12.314,16.3222,11.6184,11.8924,0.0476,15.416,13.0304,12.2702,13.1756,0.2588,6.9914,3.4474,15.3408,13.1904,13.2044,3.8178,16.7862,15.4152,3.699
vdn_2p_7140,12.0314,3.654,12.1304,15.1676,15.2364,15.2422,0.2264,12.4138,17.4582,12.5052,11.9942,12.4596,14.7266,12.3976,12.1338,10.6158,16.064,6.6934,9.609,13.6928,15.3588,15.8762,7.475,14.829,16.9888,16.7964,11.987,13.5706,4.5394,8.3578,16.0846,14.9162,4.2534,17.7406,12.8264,7.2512,12.7974,24.1316,11.5598,14.5478,10.7286,2.3306,14.926,13.7348,15.2884,11.5234,9.4174,4.4864,0.2004,14.1936,0.161,12.9286,10.3504,15.749,17.7912,0.1118,0.0108,12.1074,15.1728,10.4462,13.5704,8.6154,14.9268,3.0256,2.2834,3.0694,6.3956,12.4416,14.177,14.9688,0.5116,14.5282,4.2158,17.1534,13.275,14.7004,14.5756,16.12,16.5536,10.8074,15.9768,12.9042,18.2828,16.0362,14.7298,0.7514,13.5854,13.6652,9.3614,14.8576,0.6786,6.5994,1.8916,14.1428,13.7824,14.7046,6.1706,17.1262,19.2924,5.0152
sad_aux_op_2p_1,17.5592,4.2468,17.4786,20.171,18.3084,15.454,0.1514,14.9976,19.3992,14.5632,17.7224,17.3476,16.8972,16.5076,13.3888,15.8006,13.964,10.2608,11.6932,16.4758,19.5856,18.4614,8.7288,19.2586,17.8952,17.765,4.6164,18.3274,8.8524,9.2588,17.4028,18.732,10.0672,16.489,17.883,9.8136,11.3416,11.1532,24.1432,16.3464,15.9802,3.0608,14.8378,15.537,17.3272,9.428,14.7708,1.0082,0.212,17.6116,0.3282,16.0558,12.8584,18.8446,18.8944,0.5288,0.036,15.038,18.813,16.119,15.6848,13.6722,14.9396,4.3066,3.9582,3.7428,12.8386,17.2884,16.6252,18.0998,0.8108,17.1792,10.605,18.8312,14.0886,18.6832,16.9652,19.0282,17.172,15.8762,18.6874,16.7346,14.4104,18.9174,19.1586,0.5212,18.1608,15.0246,8.024,17.0332,1.3928,9.5582,3.9802,18.9944,17.5736,17.6572,5.8792,17.369,11.3504,6.1362
iql_2p_224,14.2164,5.3026,19.5474,20.1396,19.324,19.9202,0.284,18.553,19.5276,14.8746,19.3978,20.2354,19.1542,19.1866,12.3212,15.6508,20.5662,14.528,15.7186,17.9684,20.5942,17.993,13.9084,17.9688,18.4704,20.2462,10.901,20.4536,9.2602,13.989,19.295,19.7218,10.7472,18.7186,19.2726,15.4008,12.7962,14.3912,16.4354,24.0482,18.3136,4.3932,20.1678,20.7134,19.0126,13.3368,17.0622,4.8442,0.3282,16.158,0.1978,17.9464,17.0256,20.0438,18.9596,0.3432,0.0122,20.429,19.3414,18.6322,19.5536,13.9636,18.0254,4.4404,3.5136,4.3282,12.2498,19.4636,16.2058,20.61,0.8676,19.7214,10.5916,19.9666,20.6274,19.5302,19.2052,20.102,21.2804,19.6708,20.4804,18.0836,17.4136,18.731,20.9828,0.5166,18.5714,15.4094,13.4172,18.7864,1.0314,15.2586,7.5996,19.9954,18.7978,18.581,10.5962,18.7274,15.6454,6.5602
sad_aux_2p_1,12.9948,4.0316,21.9064,21.2508,20.0644,19.292,0.2086,18.32,18.9848,21.2566,22.0574,18.753,18.0084,21.4032,18.2678,17.2112,17.2312,13.2924,20.687,20.4882,17.641,20.2738,12.114,17.8522,20.1322,18.3248,8.5874,19.5382,11.2588,16.891,20.6998,19.7278,8.296,16.8766,21.3724,17.2944,12.0,9.7166,16.328,18.003,24.0672,1.4316,17.3914,18.043,19.8676,14.0682,20.9814,4.0354,0.0604,13.7112,0.3086,20.6504,18.25,17.5902,21.1856,0.1496,0.0018,16.1994,20.7664,18.9538,18.6038,14.533,18.4414,3.376,2.2684,4.584,11.5522,22.063,18.2746,22.088,0.3312,17.6478,15.0354,20.7464,18.2102,19.6974,20.002,19.9134,18.9402,19.674,20.718,19.0868,17.2118,18.8166,20.5876,0.3118,17.1346,19.3366,11.71,17.3544,0.689,17.0036,9.3912,19.7404,16.5892,18.8918,11.2858,21.1264,11.6768,5.746
vdn_2p_725,3.3274,1.3466,3.4592,3.2034,4.8432,2.4824,0.3364,3.5068,2.8096,2.13,2.26,2.786,4.5658,1.5998,1.6784,3.029,2.764,5.062,1.7202,2.1528,4.3604,2.0278,2.1564,4.7778,3.6012,3.4502,0.0542,4.5118,0.9248,1.3946,2.8164,3.8142,1.7188,2.3432,2.3156,1.911,2.7504,2.2776,3.1342,4.509,1.4096,23.7284,5.3324,2.6886,2.8386,1.1588,1.6816,0.0,0.1316,6.128,1.5918,2.8006,2.5854,5.3492,3.738,0.0452,0.0,2.6704,3.592,3.0456,3.0238,2.373,2.4862,0.7364,12.3678,1.4026,1.4712,2.5906,2.9612,3.417,0.8132,5.285,1.7854,3.7286,3.761,2.8074,3.4098,3.5714,4.1924,3.2546,2.8588,2.6746,3.4582,4.1612,4.2682,0.0182,3.2426,1.6426,1.1886,3.6086,0.1438,0.9922,0.483,3.7448,4.58,3.081,0.9654,3.2788,2.8772,12.9772
vdn_2p_711,13.432,5.1442,18.8732,19.1998,19.3062,18.5972,0.0716,18.3458,18.5846,18.7034,17.8088,19.5334,18.2958,19.823,11.1194,18.1904,20.4976,17.4438,16.8636,19.3038,20.5628,17.1382,14.8706,16.8626,20.0786,19.6954,13.3338,20.5108,7.6,17.569,19.3318,19.9726,12.8226,16.9354,18.3076,16.7638,14.1658,14.9886,14.8228,20.2104,17.4536,4.9248,23.794,20.696,19.82,16.3064,16.5436,12.9408,0.0756,17.0246,0.0614,19.3938,15.7592,19.0836,19.7732,0.0904,0.0022,21.598,18.922,20.2448,19.5646,16.0572,17.6606,2.5132,3.8922,5.9008,16.0212,18.8246,16.4062,19.4728,0.2856,18.6898,12.0222,19.7808,22.168,18.0634,19.872,18.757,20.9198,19.5588,20.0486,18.5678,20.2776,17.7314,19.886,0.2992,18.8694,17.145,15.7064,19.3434,2.3604,18.0458,9.1154,20.1846,18.9904,18.5544,10.9052,18.437,13.6398,6.035
sad_aux_op_2p_25007,14.1124,4.9982,19.7402,22.0466,21.6396,22.695,0.1428,17.921,20.5342,17.6152,18.387,21.927,21.7942,19.3222,13.494,16.0378,19.6458,15.5188,14.8454,21.8044,21.5174,20.2812,14.1446,17.6044,21.8464,21.0232,11.0806,21.7698,10.125,17.2992,21.9092,22.0946,8.506,18.0818,18.5448,16.7802,12.2286,13.058,15.3756,20.78,18.1378,2.8034,20.4644,23.7562,19.953,17.6364,16.8838,6.6828,0.1594,14.664,0.3974,19.0988,15.6534,21.5924,21.3486,0.0658,0.0,22.3064,21.6828,18.5052,23.2414,15.5836,20.5862,3.858,3.384,5.369,11.9008,18.823,16.0054,19.9144,0.3952,21.1934,9.7074,21.4448,20.3984,21.03,22.6372,21.2586,23.0198,18.6976,22.5208,22.2504,19.7382,20.0516,22.004,0.2194,21.401,17.7462,16.3494,18.3502,0.8358,18.5298,9.1682,21.6922,21.2792,22.0814,11.1536,19.1736,14.4936,3.5442
iql_op_2p_6110,14.872,6.2756,21.1774,20.6798,19.5774,19.366,0.2108,19.1914,19.689,19.9604,21.4286,19.4422,18.8702,21.6986,18.3054,19.1768,18.728,14.7988,18.7104,19.9418,19.964,19.3502,15.0222,18.314,20.0428,18.9208,12.7266,20.4624,10.8118,18.694,20.2804,19.7646,9.3136,19.8174,21.2194,18.0552,14.2634,15.5962,17.6662,19.3266,20.3688,3.0306,20.132,19.9644,23.7048,17.3634,20.3204,9.7012,0.22,16.515,0.2216,20.5004,20.2756,19.1626,20.0608,0.5914,0.0076,19.2182,20.259,20.963,19.494,15.1384,18.314,5.0286,3.6062,8.2842,15.8476,21.2102,19.3618,21.0334,0.8126,18.8506,15.5446,20.1388,20.1988,19.6582,20.1374,19.866,20.2686,18.4096,20.4626,19.1824,19.5372,18.8722,20.7774,0.6284,18.7608,18.4124,16.5926,20.642,2.7226,18.8504,8.9752,20.3324,18.4916,19.257,12.3966,21.939,14.2798,7.3308
sad_op_2p_2519,9.0188,2.5536,15.542,16.9876,17.3166,17.6578,0.3398,15.1726,16.4634,17.2036,12.6466,17.298,13.5284,15.2222,12.8082,16.6734,14.2358,9.6468,10.3942,18.6902,17.5938,15.4712,10.7886,15.1436,20.7102,14.9328,7.4004,19.1652,2.5018,18.3942,18.6352,15.4004,9.2844,17.9074,11.7662,12.6928,13.9028,11.6908,9.5504,13.8098,14.2784,1.2788,16.1782,17.7004,17.5778,23.4732,12.494,8.085,0.003,10.8026,0.1604,17.4506,16.2928,16.4944,16.537,0.0198,0.0,18.231,16.9316,12.3546,19.1858,14.9606,18.148,1.0716,2.0162,2.2278,16.9172,14.6684,16.3822,14.9638,0.0922,18.5836,10.6862,19.0172,13.9564,15.9018,20.0062,17.0114,17.1056,10.7896,15.0632,16.4154,20.4792,14.5448,19.1224,0.1136,18.2974,18.5448,21.6912,15.9816,0.3762,19.1546,4.2074,18.2104,16.4332,18.0628,3.5088,19.9088,9.3302,1.733
iql_2p_111,14.1244,4.3002,20.8906,19.078,17.7292,16.8504,0.2204,18.0978,17.1106,21.2292,21.8974,15.9596,16.4466,21.8584,16.5446,18.4732,16.143,12.8456,20.6666,18.4208,16.6188,17.5952,11.5728,16.8636,16.5948,16.175,6.6172,18.2282,9.2326,19.722,17.4982,17.5058,10.0992,14.877,20.831,17.9694,9.6302,9.5824,14.9282,16.863,21.1658,1.6064,16.4736,16.8788,19.9628,12.2504,23.93,6.8402,0.1548,13.8974,0.1206,20.5314,16.9734,16.0686,18.5074,0.3772,0.0086,15.3568,18.662,19.656,16.3738,14.3956,16.429,3.7952,3.2172,7.3898,14.1526,21.6532,17.671,21.103,0.4476,15.4522,15.413,17.9386,18.4746,18.253,18.537,17.155,17.0338,19.4424,18.6824,16.5012,14.6764,17.2824,18.8164,0.6526,14.7544,16.3054,10.4276,16.5634,1.0502,18.3138,8.0612,17.5306,14.9388,16.6502,11.5666,19.9006,12.908,8.184
sad_2p_2007,0.1026,0.4538,7.0576,5.978,7.2524,5.0604,0.013,0.8348,4.5642,8.5658,6.6354,7.0004,4.0654,8.5132,3.153,1.276,6.7706,2.3776,2.0436,6.9614,7.0718,2.9164,1.3092,0.6248,10.6012,7.013,1.614,5.9932,0.3944,9.4746,6.658,4.808,0.0046,6.7678,7.0062,8.2906,0.5862,4.3518,1.0144,4.6576,4.4674,0.0004,12.9908,7.3336,9.371,8.106,6.8644,24.0338,0.0026,0.9374,0.0044,9.7234,4.517,6.46,8.9458,0.0,0.0,7.7082,6.3316,6.8624,7.4662,0.816,3.7516,0.016,0.0,0.0964,0.0,7.9196,0.4456,1.4582,0.041,5.396,1.7466,7.1546,10.3112,5.9346,7.4494,4.7426,7.019,9.6214,4.6638,4.7706,10.5056,4.1198,8.9906,0.0092,6.5976,5.6374,5.6708,7.2042,0.0,8.467,1.9886,7.7402,6.5042,7.2414,1.1792,6.3532,4.9316,0.0076
